,importance
sensor_11,0.7342352350894554
sensor_9,0.15306068242220477
sensor_14,0.02709150104601663
sensor_4,0.018922280340192655
sensor_13,0.01404939986556994
sensor_12,0.01270324690151998
sensor_8,0.01075071189027783
sensor_7,0.010568357223218115
sensor_15,0.005783973310904818
sensor_2,0.0031086278654235346
sensor_3,0.003073122154278693
sensor_21,0.002818055803192645
sensor_20,0.0017570032935465606
sensor_17,0.0010835976097238592
op_setting_1,0.0006735303400785815
op_setting_2,0.00032067484439595313
op_setting_3,0.0
