subset,model,RMSE,MAE,PHM_score
FD001,RandomForest,18.392669801831232,13.493103472816836,525.8976867167021
FD001,GradientBoosting,18.40650200316513,13.491230827564031,575.6073761239797
FD001,ANN,18.409340457185245,13.08880865274882,648.3787203883753
FD003,RandomForest,21.922198200370666,16.75181277331053,927.7029831627486
FD003,GradientBoosting,22.14151900731628,16.36093318774429,1009.632136387063
FD003,ANN,20.87981345596564,15.484844695456747,905.518459064038
FD002,RandomForest,31.48978487468864,23.038499206602687,65442.34232824318
FD002,GradientBoosting,29.599143897517447,21.02864688225305,61629.88730399223
FD002,ANN,31.276035125278277,22.76170428417769,125708.09999458135
FD004,RandomForest,33.37463193671891,25.195309162493583,44707.719945327015
FD004,GradientBoosting,30.41582169263569,22.970430505287208,32826.47190174853
FD004,ANN,34.458631966243345,26.88456652863758,61771.50009870654
